,band_name,fans,formed,origin,split,style
2333,"Liv Moon",13,2009,"Japan",2009,"Symphonic"
2334,"Lord Vampyr",13,2004,"Italy",-,"Black,Gothic"
2335,"Lunatic Gods",13,1993,"Slovak Republic",1993,"Atmospheric black,Death doom"
2336,"Lycus",13,2008,"USA",-,"Funeral doom"
2337,"Mantar",13,2012,"Germany",2012,"Sludge"
2338,"Modern Day Babylon",13,2010,"Czech Republic",-,"Progressive,Djent"
2339,"Murder Construct",13,2001,"USA",2001,"Deathgrind"
2340,"Obsession",13,1982,"USA",-,"Us power"
2341,"Panzer (GER)",13,2014,"Germany",2014,"Heavy"
2342,"Pathosray",13,2000,"Italy",-,"Progressive"
2343,"Plebeian Grandstand",13,2005,"France",2005,"Black,Hardcore"
2344,"Probot",13,2001,"USA",2004,"Heavy,Stoner"
2345,"Psygnosis",13,2009,"France",2009,"Extreme progressive"
2346,"Purtenance",13,1989,"Finland",-,"Death"
2347,"Quorthon",13,1993,"Sweden",1993,"Alternative,Alternative rock"
2348,"Redwood Hill",13,2010,"Denmark",-,"Post-metal,Black"
2349,"Reverence",13,1998,"France",1998,"Black,Industrial"
2350,"Saga",13,1977,"Canada",-,"Progressive rock"
2351,"Selvans",13,2014,"Italy",2014,"Atmospheric black,Folk"
2352,"Septycal Gorge",13,2004,"Italy",-,"Brutal death,Technical death"
2353,"Sir Lord Baltimore",13,1968,"USA",1968,"Heavy,Hard rock"
2354,"Skáphe",13,2014,"USA",-,"Black"
2355,"Sleestak",13,2003,"USA",2003,"Stoner,Psychedelic rock"
2356,"Sotajumala",13,1998,"Finland",2016,"Death"
2357,"Soul Secret",13,2004,"Italy",2004,"Progressive"
2358,"Sound Storm",13,2002,"Italy",-,"Symphonic power"
2359,"Soziedad Alkoholika",13,1988,"Spain",1988,"Crossover thrash"
2360,"Spitfire",13,1984,"Greece",-,"Power"
2361,"Switchtense",13,2002,"Portugal",2002,"Groove thrash"
2362,"Synestesia",13,2001,"Finland",2012,"Gothenburg"
2363,"Talanas",13,2008,"United Kingdom",2008,"Progressive death"
2364,"The Legion",13,1999,"Sweden",2010,"Black"
2365,"The SLoT",13,2002,"Russia",2002,"Alternative,Nu"
2366,"The Slow Death",13,2007,"Australia",-,"Death doom"
2367,"The Spektrum",13,2005,"Portugal",2005,"Death,Gothic"
2368,"Thine Eyes Bleed",13,2002,"Canada",-,"Death,Thrash"
2369,"This Ending",13,2005,"Sweden",2005,"Melodic death"
2370,"Thy Darkened Shade",13,1999,"Greece",-,"Black"
2371,"Tim "Ripper" Owens",13,2008,"USA",2008,"Heavy"
2372,"Tomorrow's Eve",13,1998,"Germany",-,"Progressive"
2373,"Trollech",13,1999,"Czech Republic",1999,"Pagan black"
2374,"Trooper",13,1995,"Romania",-,"Heavy"
2375,"Vanhelgd",13,2007,"Sweden",2007,"Death"
2376,"Vanir",13,2009,"Denmark",-,"Viking folk,Melodic death"
2377,"Vastum",13,2009,"USA",2009,"Death"
2378,"Vendetta (GER)",13,1984,"Germany",-,"Thrash"
2379,"Vhöl",13,2012,"USA",2012,"Heavy,Crust punk"
2380,"Visceral Disgorge",13,2007,"USA",-,"Brutal death"
2381,"Voices Of Destiny",13,2004,"Germany",2004,"Symphonic,Heavy"
2382,"Wargasm",13,1982,"USA",1995,"Thrash,Heavy"
2383,"World Under Blood",13,2006,"USA",2006,"Melodic death"
2384,"Aarni",12,1998,"Finland",-,"Avantgarde"
2385,"Addaura",12,2008,"USA",2008,"Experimental black"
2386,"Anarchadia",12,2012,"Syria",-,"Thrash"
2387,"Apathy Noir",12,2003,"Sweden",2003,"Death doom,Progressive"
2388,"Aras",12,2001,"Iran",-,"Atmospheric black"
2389,"Atriarch",12,2009,"USA",2009,"Blackened doom"
2390,"Backyard Babies",12,1987,"Sweden",-,"Hard rock,Glam"
2391,"Black River",12,2008,"Poland",2008,"Heavy,Stoner"
2392,"Black Wreath",12,2002,"Denmark",-,"Funeral doom,Death doom"
2393,"Bloody Panda",12,2003,"USA",2003,"Drone doom,Sludge"
2394,"Botch",12,1993,"USA",2002,"Math,Metalcore"
2395,"Burnt By The Sun",12,1999,"USA",1999,"Metalcore"
2396,"Caïna",12,2004,"United Kingdom",-,"Black,Post-metal"
2397,"Castle",12,2009,"USA",2009,"Doom,Heavy"
2398,"Cripple Bastards",12,1988,"Italy",-,"Grindcore"
2399,"Damned Spirits' Dance",12,2002,"Hungary",2002,"Black,Avantgarde,Melodic black"
2400,"Devolved",12,1996,"Australia",-,"Death,Industrial,Technical death"
2401,"Domain",12,1988,"Germany",1988,"Power"
2402,"Dream Death",12,1985,"USA",-,"Doom,Death,Thrash"
2403,"Eïs",12,2010,"Germany",2010,"Black"
2404,"Eidolon",12,1993,"Canada",-,"Power,Speed"
2405,"Elegeion",12,1995,"Australia",1995,"Doom"
2406,"Emyn Muil",12,2012,"Italy",-,"Atmospheric black"
2407,"Entropia (POL)",12,2007,"Poland",2007,"Black,Post-metal"
2408,"Explode",12,1999,"Iran",-,"Progressive"
2409,"Foscor",12,1997,"Spain",1997,"Black"
2410,"Gospel Of The Horns",12,1993,"Australia",-,"Black"
2411,"Grimner",12,2008,"Sweden",2008,"Folk"
2412,"Häive",12,2002,"Finland",-,"Black,Folk"
2413,"Hammercult",12,2010,"Israel, Germany",2010,"Death,Thrash"
2414,"Hermh",12,1993,"Poland",-,"Black,Symphonic black,Gothic"
2415,"Holy Blood",12,1999,"Ukraine",1999,"Hardcore,Melodic death,Black,Folk,Brutal death"
2416,"Holy Knights",12,1998,"Italy",-,"Power,Symphonic"
2417,"Impious",12,1994,"Sweden",1994,"Death,Thrash"
2418,"In-Quest",12,1994,"Belgium",2014,"Technical death"
2419,"Izah",12,2006,"The Netherlands",2006,"Sludge"
2420,"Kistvaen",12,2008,"Romania",-,"Black"
2421,"Kraanium",12,2001,"Norway",2001,"Brutal death"
2422,"Letzte Instanz",12,1996,"Germany",-,"Folk,Industrial,Gothic"
2423,"Lords Of Black",12,2014,"Spain",2014,"Heavy"
2424,"Luna Ad Noctum",12,1998,"Poland",-,"Symphonic black"
2425,"Macabre Omen",12,1994,"Greece",1994,"Pagan black"
2426,"Majestic",12,1997,"Sweden",-,"Power"
2427,"Mencea",12,2004,"Greece",2004,"Progressive death"
2428,"Minority Sound",12,2007,"Czech Republic",-,"Electronic industrial"
2429,"Miserere Luminis",12,2008,"Canada",2008,"Black"
2430,"Nebelhorn",12,2004,"Germany",-,"Viking black"
2431,"Neonfly",12,2008,"United Kingdom",2008,"Power"
2432,"No Return",12,1989,"France",-,"Death,Thrash"
2433,"Oathbreaker",12,2008,"Belgium",2008,"Black,Post-metal,Hardcore"
2434,"Obsidian",12,1997,"The Netherlands",2012,"Progressive death"
2435,"Otargos",12,2001,"France",2001,"Black"
2436,"Pegazus",12,1993,"Australia",-,"Heavy"
2437,"Philip H. Anselmo & The Illegals",12,2011,"USA",2011,"Sludge"
2438,"Porta Nigra",12,2010,"Germany",-,"Avantgarde black,Doom"
2439,"Portrait",12,2006,"Sweden",2006,"Heavy"
2440,"Psychostick",12,2000,"USA",-,"Groove thrash,Comedy"
2441,"Razorwyre",12,2008,"New Zealand",2008,"Thrash"
2442,"Salamandra",12,1998,"Czech Republic",-,"Power,Speed"
2443,"Sanctification",12,2001,"Sweden",2001,"Death"
2444,"Sarpanitum",12,2003,"United Kingdom",-,"Brutal death"
2445,"Scorpion Child",12,2006,"USA",2006,"Hard rock"
2446,"Seven Witches",12,1998,"USA",-,"Heavy"
2447,"Sivyj Yar",12,2006,"Russia",2006,"Pagan black"
2448,"Soulgrind",12,1992,"Finland",-,"Black,Gothic"
2449,"Spires",12,2008,"United Kingdom",2008,"Extreme progressive"
2450,"Spiritus Mortis",12,1987,"Finland",-,"Doom"
2451,"Survivor",12,1976,"USA",1976,"Heavy"
2452,"Survivors Zero",12,2006,"Finland",-,"Melodic death"
2453,"Symbyosis",12,1998,"France",1998,"Progressive death"
2454,"Tarantula",12,1981,"Portugal",-,"Power,Heavy"
2455,"Temple Of Baal",12,1998,"France",1998,"Black"
2456,"The Fading",12,2006,"Israel",-,"Melodic death"
2457,"The Safety Fire",12,2006,"United Kingdom",2006,"Progressive"
2458,"Theudho",12,2003,"Belgium",-,"Pagan black"
2459,"Thrown To The Sun",12,2010,"Turkey",2010,"Progressive death"
2460,"Torture Division",12,2007,"Sweden",2014,"Death"
2461,"Unearthly Trance",12,2000,"USA",2000,"Doom,Sludge"
2462,"V8",12,1979,"Argentina",1987,"Heavy"
2463,"White Walls",12,2009,"Romania",2009,"Progressive"
2464,"Wilds Forlorn",12,2008,"The Netherlands",-,"Atmospheric black,Depressive black"
2465,"Winter In Eden",12,2007,"United Kingdom",2007,"Symphonic gothic"
2466,"Woe",12,2007,"USA",-,"Black"
2467,"5ive",11,2000,"USA",2000,"Sludge,Post-metal"
2468,"Abgott",11,1997,"United Kingdom",-,"Black"
2469,"Abiotic",11,2010,"USA",2010,"Progressive deathcore,Technical death"
2470,"Abske Fides",11,2003,"Brazil",-,"Funeral doom,Death doom"
2471,"Across The Sun",11,2004,"USA",2004,"Metalcore"
2472,"Aeba",11,1992,"Germany",2013,"Black"
2473,"Aeon Of Horus",11,2006,"Australia",2006,"Progressive death,Technical death"
2474,"Agonizer",11,1998,"Finland",-,"Heavy"
2475,"Akrea",11,2005,"Germany",2005,"Melodic death"
2476,"Alterbeast",11,2013,"USA",-,"Technical death"
2477,"Ancestral Legacy",11,1995,"Norway",1995,"Symphonic black,Gothic"
2478,"Animations",11,2007,"Poland",-,"Progressive,Progressive death,Metalcore"
2479,"Antropomorphia",11,1989,"The Netherlands",1989,"Death"
2480,"Argus Megere",11,2005,"Romania",-,"Black"
2481,"Arwen",11,1996,"Spain",1996,"Power,Progressive"
2482,"Astra (USA)",11,2006,"USA",-,"Progressive rock,Psychedelic rock"
2483,"Audrey Horne",11,2002,"Norway",2002,"Hard rock,Alternative rock"
2484,"Black Tongue",11,2013,"United Kingdom",-,"Deathcore"
2485,"Black Witchery",11,1991,"USA",1991,"Black,Death"
2486,"Blood Feast",11,1986,"USA",-,"Death,Thrash"
2487,"Blood Of Kingu",11,2005,"Ukraine",2005,"Black"
2488,"Bonfire",11,1985,"Germany",-,"Hard rock,Heavy"
2489,"Canopy",11,2002,"Sweden",2002,"Melodic death"
2490,"Creation's End",11,2003,"USA",-,"Progressive"
2491,"Cronian",11,2005,"Norway",2005,"Progressive"
2492,"Crystal Ball",11,1995,"Switzerland",-,"Power"
2493,"Dark Quarterer",11,1974,"Italy",1974,"Heavy,Progressive,Hard rock"
2494,"Dead To A Dying World",11,2010,"USA",-,"Blackened doom,Sludge,Crust,Punk"
2495,"Desecravity",11,2007,"Japan",2007,"Technical death,Brutal death"
2496,"Duskmourn",11,2012,"USA",-,"Folk,Melodic death"
2497,"Dylath-Leen",11,1999,"France",1999,"Melodic death"
2498,"Elfonía",11,2001,"Mexico",2006,"Progressive,Progressive rock"
2499,"Enforsaken",11,1998,"USA",1998,"Gothenburg"
2500,"Eschatos",11,2012,"Latvia",-,"Progressive black"
2501,"Ethereal Shroud",11,2013,"United Kingdom",2013,"Black,Funeral doom"
2502,"Evertale",11,2007,"Germany",-,"Power,Heavy"
2503,"Farsot",11,1999,"Germany",1999,"Black"
2504,"Faustcoven",11,2002,"Norway",-,"Black,Doom"
2505,"Fear Of Eternity",11,2000,"Italy",2000,"Atmospheric black"
2506,"Fleshgrind",11,1993,"USA",2005,"Death"
2507,"Frantic Amber",11,2008,"Sweden",2008,"Melodic death"
2508,"Fukpig",11,2001,"United Kingdom",-,"Black,Crust,Punk"
2509,"Fungoid Stream",11,2003,"Argentina",2003,"Funeral doom"
2510,"Gaia Epicus",11,1992,"Norway",-,"Power"
2511,"Golem",11,2000,"Italy",2000,"Melodic death"
2512,"Gyze",11,2009,"Japan",-,"Extreme power"
2513,"Headhunter",11,1989,"Germany",1989,"Power,Thrash"
2514,"Hexx",11,1983,"USA",-,"Us power,Speed,Thrash"
2515,"Himinbjorg",11,1996,"France",1996,"Pagan black"
2516,"Horn",11,2003,"Germany",-,"Black"
2517,"House Of Lords",11,1988,"USA",1988,"Hard rock"
2518,"In Lingua Mortua",11,1999,"Norway",-,"Melodic black"
2519,"Iniquity",11,1989,"Denmark",1989,"Technical death"
2520,"Iron Angel",11,1980,"Germany",-,"Power,Speed,Thrash,Heavy"
2521,"Ironsword",11,1995,"Portugal",1995,"Heavy"
2522,"Irreversible",11,2005,"USA",2015,"Atmospheric sludge"
2523,"IXXI",11,2006,"Sweden",2006,"Black"
2524,"Liturgy (US-NY)",11,2005,"USA",-,"Experimental black"
2525,"Lycanthia",11,1996,"Australia",1996,"Death doom,Gothic doom"
2526,"Malpractice",11,1994,"Finland",-,"Thrash,Progressive"
2527,"Memoira",11,2007,"Finland",2007,"Gothic"
2528,"Messenger",11,1990,"Germany",-,"Heavy"
2529,"Mindflow",11,2003,"Brazil",2003,"Progressive"
2530,"Morifade",11,1992,"Sweden",-,"Power"
2531,"Mortem",11,1986,"Peru",1986,"Death"
2532,"Mournful Gust",11,1999,"Ukraine",-,"Death doom,Gothic"
2533,"Nidingr",11,1992,"Norway",1992,"Black"
2534,"Nominon",11,1993,"Sweden",-,"Blackened death,Death"
2535,"Nylithia",11,2008,"Canada",2008,"Thrash"
2536,"Omb",11,2009,"Israel",-,"Progressive,Avantgarde"
2537,"Omega Massif",11,2005,"Germany",2005,"Sludge"
2538,"Pain Confessor",11,2002,"Finland",-,"Melodic death"
2539,"Phobia",11,1990,"USA",1990,"Grindcore"
2540,"Pitchshifter",11,1989,"United Kingdom",-,"Industrial,Alternative"
2541,"Power Symphony",11,1994,"Italy",1994,"Power"
2542,"Puteraeon",11,2008,"Sweden",-,"Death"
2543,"Radiance (FIN)",11,2007,"Finland",2007,"Progressive,Math"
2544,"Radogost",11,2006,"Poland",-,"Folk"
2545,"Rwake",11,1996,"USA",1996,"Doom,Sludge"
2546,"Sacred Steel",11,1997,"Germany",-,"Heavy,Power"
2547,"Samhain",11,1983,"USA",1983,"Death rock,Hard rock,Horror,Punk"
2548,"Sanatorium",11,1987,"Macedonia",-,"Speed,Thrash"
2549,"Serenity In Murder",11,2009,"Japan",2009,"Symphonic black,Symphonic death"
2550,"Shadow",11,1993,"Japan",-,"Melodic death"
2551,"Shadowsphere",11,2000,"Portugal",2000,"Gothenburg"
2552,"Shattered Skies",11,2011,"Ireland",-,"Progressive,Djent"
2553,"Shear",11,2008,"Finland",2008,"Power"
2554,"Soilent Green",11,1988,"USA",-,"Sludge,Grindcore"
2555,"Steel Prophet",11,1983,"USA",1983,"Us power"
2556,"Sumac",11,2014,"USA",-,"Post-metal,Sludge"
2557,"Sworn Enemy",11,1997,"USA",1997,"Metalcore,Hardcore"
2558,"Sylvaine",11,2013,"Norway",-,"Atmospheric black,Shoegaze"
2559,"Tears Of Martyr",11,1996,"Spain",1996,"Gothic"
2560,"Tempel",11,2003,"USA",-,"Extreme progressive,Instrumental"
2561,"The Great Kat",11,1986,"USA",1986,"Neoclassical heavy,Speed,Thrash"
2562,"Thunder",11,1989,"United Kingdom",-,"Hard rock"
2563,"Twilight Guardians",11,1996,"Finland",1996,"Power"
2564,"Twilight Of The Gods",11,2010,"nan",-,"Heavy"
2565,"Vanguard",11,1999,"Finland",1999,"Gothic"
2566,"Viking",11,1985,"USA",-,"Thrash"
2567,"Virgin Snatch",11,2001,"Poland",2001,"Thrash,Groove thrash"
2568,"Weeping Birth",11,1999,"Switzerland",-,"Brutal death,Black"
2569,"With The Dead",11,2014,"United Kingdom",2014,"Doom,Stoner"
2570,"Wolvhammer",11,2008,"USA",-,"Blackened sludge"
2571,"Zhrine",11,2015,"Iceland",2015,"Death"
2572,"Zyklon-B",11,1995,"Norway",1999,"Black"
2573,"Àrsaidh",10,2012,"United Kingdom",2012,"Atmospheric black,Folk"
2574,"6:33",10,2010,"France",-,"Alternative,Avantgarde"
2575,"A Dream Of Poe",10,2005,"Portugal, United Kingdom",2005,"Doom,Gothic"
2576,"A Million Dead Birds Laughing",10,2008,"Australia",-,"Technical death,Grindcore"
2577,"Abattoir",10,1982,"USA",1982,"Speed"
2578,"Abstract Spirit",10,2006,"Russia",-,"Funeral doom"
2579,"Adimiron",10,1999,"Italy",1999,"Melodic death,Melodic black,Progressive death,Thrash"
2580,"After Oblivion",10,2007,"Bosnia and Herzegovina",-,"Technical thrash"
2581,"Against The Plagues",10,2005,"USA",2005,"Symphonic black,Melodic death"
2582,"Alaskan",10,2008,"Canada",-,"Sludge"
2583,"Alpine Fault",10,2005,"Australia",2005,"Melodic progressive"
2584,"Alunah",10,2006,"United Kingdom",-,"Doom,Stoner"
2585,"Andras",10,1994,"Germany",1994,"Black,Pagan black"
2586,"Anomalie",10,2011,"Austria",-,"Black,Post-metal"
2587,"Atrocious Abnormality",10,2006,"USA",2006,"Brutal death"
2588,"Autumn's Dawn",10,2013,"Australia",-,"Depressive black"
2589,"Betzefer",10,1997,"Israel",1997,"Death,Sludge"
2590,"Blaakyum",10,1995,"Lebanon",-,"Doom,Thrash,Heavy,Progressive"
2591,"Brimstone Coven",10,2011,"USA",2011,"Doom,Stoner rock"
2592,"Casketgarden",10,1998,"Hungary",2012,"Thrash"
2593,"Catalepsia",10,2005,"Latvia",2005,"Gothic doom"
2594,"Cautiva",10,2007,"Spain",-,"Thrash,Progressive"
2595,"Celestial Crown",10,1999,"Estonia",1999,"Black,Gothic doom"
2596,"Cnoc An Tursa",10,2006,"United Kingdom",-,"Folk,Black"
2597,"Cult Of Herodias",10,2012,"USA",2012,"Doom"
2598,"D'espairsRay",10,1999,"Japan",2011,"Industrial,J rock"
2599,"Dark At Dawn",10,1993,"Germany",1993,"Power"
2600,"Dawn Of Azazel",10,1997,"New Zealand",-,"Death"
2601,"Dawn Of Disease",10,2003,"Germany",2003,"Death"
2602,"Dawnless",10,2003,"Switzerland",-,"Heavy,Power"
2603,"Death Fetishist",10,2015,"USA",2015,"Psychedelic black"
2604,"Dee Snider",10,1997,"USA",-,"Heavy"
2605,"Defiled",10,1992,"Japan",1992,"Brutal death"
2606,"Defleshed",10,1991,"Sweden",2005,"Death,Thrash"
2607,"Demisery",10,2011,"USA",2011,"Death"
2608,"Diathra",10,1995,"Belarus",-,"Doom,Gothic"
2609,"Diocletian",10,2004,"New Zealand",2004,"Black,Death"
2610,"Disentomb",10,2009,"Australia",-,"Brutal death"
2611,"Disforia",10,2007,"USA",2007,"Power,Progressive"
2612,"Disharmonic Orchestra",10,1987,"Austria",-,"Death,Grindcore,Avantgarde,Progressive"
2613,"Dissenter",10,1989,"Poland",1989,"Brutal death"
2614,"Divine Empire",10,1997,"USA",-,"Death,Thrash"
2615,"Dreamaker",10,2003,"Spain",2003,"Power,Thrash"
2616,"Dreaming Dead",10,2006,"USA",-,"Death,Thrash"
2617,"Dyrathor",10,2006,"Germany",2006,"Pagan folk"
2618,"Dyscordia",10,2010,"Belgium",-,"Progressive"
2619,"Dysrhythmia",10,1998,"USA",1998,"Technical progressive"
2620,"Ebonylake",10,1997,"United Kingdom",-,"Avantgarde,Black"
2621,"Embryonic Devourment",10,2002,"USA",2002,"Brutal death,Grindcore"
2622,"Emeth",10,1997,"Belgium",-,"Death,Brutal death,Technical death"
2623,"Eternal Gray",10,2001,"Israel",2001,"Technical death,Melodic death"
2624,"Fall Of Serenity",10,1998,"Germany",-,"Gothenburg,Death"
2625,"Faster Pussycat",10,1986,"USA",1986,"Hard rock,Glam"
2626,"Fjorsvartnir",10,2007,"Denmark",-,"Melodic black"
2627,"Gadget",10,1999,"Sweden",1999,"Grindcore"
2628,"Gates Of Winter",10,2003,"Canada",-,"Symphonic progressive"
2629,"Geezer",10,1985,"USA",1985,"Heavy,Industrial heavy"
2630,"Ghost Machinery",10,2002,"Finland",-,"Power"
2631,"Girugämesh",10,2003,"Japan",2003,"J rock,Alternative,Power"
2632,"Godkiller",10,1994,"Monaco",-,"Death,Black,Industrial black,Electronic,Metal"
2633,"Grave Flowers",10,1993,"Sweden",1993,"Doom"
2634,"Guillotine",10,1995,"Sweden",-,"Thrash"
2635,"Halloween",10,1981,"USA",1981,"Heavy"
2636,"Heidra",10,2006,"Denmark",-,"Viking folk"
2637,"Hollow Haze",10,2003,"Italy",2003,"Progressive heavy"
2638,"Irreversible Mechanism",10,2012,"Belarus",-,"Technical death,Symphonic death"
2639,"Ivory Tower",10,1996,"Germany",1996,"Progressive,Power"
2640,"Kabát",10,1983,"Czech Republic",-,"Thrash,Melodic heavy,Hard rock"
2641,"Lana Lane",10,1995,"USA",1995,"Progressive"
2642,"Lay Down Rotten",10,1999,"Germany",2015,"Death"
2643,"Light Bearer",10,2010,"United Kingdom",2010,"Post-metal,Sludge"
2644,"Livsnekad",10,2007,"Sweden",2012,"Black,Doom"
2645,"Lord Dying",10,2010,"USA",2010,"Sludge"
2646,"Luciferian Light Orchestra",10,2014,"Sweden",-,"Psychedelic rock"
2647,"Ludicra",10,1998,"USA",1998,"Black"
2648,"Lunaris",10,1998,"Norway",-,"Progressive black"
2649,"McAuley Schenker Group",10,1986,"Germany",1986,"Hard rock,Glam"
2650,"Miasmal",10,2007,"Sweden",-,"Death"
2651,"Misery Loves Co.",10,1993,"Sweden",1993,"Industrial,Alternative"
2652,"Monolord",10,2013,"Sweden",-,"Stoner,Doom"
2653,"Mortillery",10,2008,"Canada",2008,"Thrash"
2654,"Morton",10,2009,"Ukraine",-,"Heavy,Power"
2655,"Mythological Cold Towers",10,1994,"Brazil",1994,"Doom"
2656,"Neuromist",10,2004,"Moldova",-,"Progressive death"
2657,"Night Of Suicide",10,2005,"The Netherlands",2005,"Funeral doom"
2658,"Nine Treasures",10,2011,"China",-,"Folk"
2659,"Noisem",10,2013,"USA",2013,"Death,Thrash"
2660,"Nordheim",10,2006,"Canada",-,"Blackened folk,Melodic death"
2661,"Northlane",10,2009,"Australia",2009,"Progressive metalcore"
2662,"Opprobrium",10,1999,"USA",-,"Death,Thrash"
2663,"Orakle",10,1994,"France",1994,"Atmospheric black,Avantgarde"
2664,"Ortega",10,2007,"The Netherlands",-,"Doom,Sludge"
2665,"Outcast",10,1998,"France",1998,"Progressive thrash,Progressive death"
2666,"Potentiam",10,1997,"Iceland",-,"Avantgarde black,Blackened death,Suomi"
2667,"Prey For Nothing",10,2005,"Israel",2005,"Melodic death"
2668,"Razor Of Occam",10,1998,"Australia",-,"Black,Thrash"
2669,"Satura",10,2008,"Iran",2008,"Metalcore,Groove thrash"
2670,"Scream Silence",10,1998,"Germany",-,"Gothic"
2671,"Secrets Of The Sky",10,2010,"USA",2010,"Black,Doom"
2672,"Sight Of Emptiness",10,2005,"Costa Rica",-,"Gothenburg"
2673,"Syn Ze ?ase Tri",10,2007,"Romania",2007,"Symphonic black"
2674,"Tales Of Dark...",10,2001,"Serbia",-,"Death doom,Gothic"
2675,"The Interbeing",10,2006,"Denmark",2006,"Industrial"
2676,"The Poodles",10,2005,"Sweden",-,"Glam,Melodic heavy,Hard rock"
2677,"The Resistance",10,2011,"Sweden",2011,"Death"
2678,"Thränenkind",10,2007,"Germany",-,"Black,Post-punk"
2679,"Twilight",10,2004,"USA",2004,"Black"
2680,"Valient Thorr",10,2000,"USA",-,"Heavy"
2681,"Waldgeflüster",10,2005,"Germany",2005,"Black"
2682,"Waning",10,2007,"Sweden",2016,"Progressive black"
2683,"Wind Rose",10,2009,"Italy",2009,"Progressive,Power"
2684,"Within Y",10,2002,"Sweden",-,"Melodic death"
2685,"Abandoned",9,1999,"Germany",1999,"Thrash"
2686,"Abidetherein",9,2010,"Syria",-,"Black,Folk"
2687,"Abscess",9,1994,"USA",1994,"Death"
2688,"Acid Reign",9,1985,"United Kingdom",-,"Thrash"
2689,"Afgrund",9,2006,"Sweden",2006,"Grindcore,Crust punk"
2690,"Alpha Tiger",9,2007,"Germany",-,"Thrash,Power"
2691,"Anup Sastry",9,2012,"USA",2012,"Progressive,Djent,Instrumental"
2692,"Arbor",9,2011,"USA",-,"Doom,Folk,Progressive"
2693,"Arrow Haze",9,2011,"Belgium",2011,"Hard rock"
2694,"Arsafes",9,2009,"Russia",-,"Extreme progressive,Industrial"
2695,"As You Drown",9,2001,"Sweden",2001,"Death,Deathcore"
2696,"Bare Infinity",9,2003,"Greece",-,"Symphonic power"
2697,"Beneath",9,2007,"Iceland",2007,"Technical death"
2698,"Cadavrul",9,2005,"Romania",-,"Death"
2699,"Cangaço",9,2010,"Brazil",2010,"Progressive death"
2700,"Cans",9,2003,"Sweden",-,"Heavy"
2701,"Cardiant",9,2000,"Finland",2000,"Power"
2702,"Carnophage",9,2006,"Turkey",-,"Technical death,Brutal death"
2703,"Catharsis",9,1996,"Russia",1996,"Doom,Neoclassical power"
2704,"Celestial Season",9,1991,"The Netherlands",-,"Death,Doom,Stoner"
2705,"Chain Reaction",9,2002,"Poland",2002,"Groove thrash"
2706,"Chris Caffery",9,2003,"USA",-,"Progressive power"
2707,"Confessor",9,1986,"USA",1986,"Doom"
2708,"Crown",9,2011,"France",-,"Doom,Sludge"
2709,"Diminished",9,2005,"USA",2005,"Brutal death,Grindcore"
2710,"Dirge Within",9,2007,"USA",2013,"Thrash,Metalcore"
2711,"Discordance Axis",9,1992,"USA",1992,"Grindcore"
2712,"Divlje Jagode",9,1976,"Bosnia and Herzegovina, Croatia",-,"Heavy,Hard rock"
2713,"Domovoyd",9,2010,"Finland",2010,"Psychedelic stoner"
2714,"Dotma",9,2005,"Finland",-,"Symphonic power"
2715,"Drautran",9,1996,"Germany",1996,"Black"
2716,"Ebony Ark",9,2002,"Spain",-,"Power,Progressive"
2717,"Echoterra",9,2007,"USA",2007,"Symphonic"
2718,"Ecnephias",9,1996,"Italy",-,"Blackened death,Doom,Gothic death"
2719,"Eden Circus",9,2010,"Germany",2010,"Alternative,Progressive,Post-metal"
2720,"Emir Hot",9,2007,"Bosnia and Herzegovina",-,"Progressive"
2721,"Enthrallment",9,1998,"Bulgaria",1998,"Brutal death"
2722,"Eudaimony",9,2007,"Germany",-,"Post-metal,Black"
2723,"Evil Invaders",9,2007,"Belgium",2007,"Speed,Thrash"
2724,"Exsecratus",9,2004,"Finland",2013,"Melodic death,Gothic"
2725,"Fogalord",9,2007,"Italy",2007,"Power,Symphonic"
2726,"Graves At Sea",9,2002,"USA",-,"Doom,Sludge"
2727,"Heir Apparent",9,1983,"USA",1983,"Progressive"
2728,"Hevisaurus",9,2009,"Finland",-,"Heavy,Power"
2729,"Hjarnidaudi",9,2005,"Norway",2005,"Drone doom"
2730,"Hope For The Dying",9,2006,"USA",-,"Progressive death"
2731,"Horde",9,1994,"Australia",1994,"Black"
2732,"Human Mincer",9,1996,"Spain",-,"Brutal death"
2733,"Icon & The Black Roses",9,1999,"Portugal",1999,"Gothic"
2734,"Illuminandi",9,1998,"Poland",-,"Gothic folk"
2735,"Inner Sanctum",9,2006,"India",2006,"Death,Thrash"
2736,"Innosense",9,2005,"Greece",-,"Melodic progressive"
2737,"Iris",9,1977,"Romania",1977,"Hard rock"
2738,"Japanische Kampfhörspiele",9,1998,"Germany",-,"Grindcore"
2739,"Jucifer",9,1993,"USA",1993,"Alternative rock,Sludge,Alternative,Noise"
2740,"Khthoniik Cerviiks",9,2013,"Germany",-,"Black,Death"
2741,"Latitudes",9,2006,"United Kingdom",2006,"Post-metal,Sludge"
2742,"Los Random",9,2009,"Argentina",-,"Progressive,Avantgarde"
2743,"Loss (USA)",9,2003,"USA",2003,"Funeral doom"
2744,"Mastercastle",9,2008,"Italy",-,"Heavy"
2745,"Memory Garden",9,1992,"Sweden",1992,"Heavy,Doom"
2746,"Moby Dick",9,1980,"Hungary",-,"Thrash"
2747,"Moonlight Agony",9,1999,"Sweden",1999,"Power"
